n,max_N,min_M
8310,21040,1027535
8311,56104,992471
8312,10528,1038047
8313,269728,778847
8314,12472,1036103
8315,250504,798071
8316,31588,1016987
8317,31588,1016987
8318,94768,953807
8319,284308,764267
8320,8320,1040255
8321,24964,1023611
8322,12484,1036091
8323,37456,1011119
8324,8324,1040251
8325,24976,1023599
8326,18736,1029839
8327,56212,992363
8328,9232,1039343
8329,144340,904235
8330,12496,1036079
8331,37492,1011083
8332,9376,1039199
8333,25000,1023575
8334,60100,988475
8335,84400,964175
8336,9232,1039343
8337,26728,1021847
8338,26728,1021847
8339,37528,1011047
8340,9232,1039343
8341,25024,1023551
8342,18772,1029803
8343,56320,992255
8344,9232,1039343
8345,28168,1020407
8346,12520,1036055
8347,95092,953483
8348,15856,1032719
8349,25048,1023527
8350,42280,1006295
8351,481624,566951
8352,8352,1040223
8353,67768,980807
8354,12532,1036043
8355,37600,1010975
8356,23812,1024763
8357,25072,1023503
8358,23812,1024763
8359,2316760,18905
8360,8360,1040215
8361,214324,834251
8362,12544,1036031
8363,37636,1010939
8364,9412,1039163
8365,25096,1023479
8366,28240,1020335
8367,84724,963851
8368,9232,1039343
8369,25108,1023467
8370,14128,1034447
8371,37672,1010903
8372,9232,1039343
8373,25120,1023455
8374,80512,968063
8375,80512,968063
8376,9232,1039343
8377,28276,1020299
8378,12568,1036007
8379,42424,1006151
8380,21220,1027355
8381,25144,1023431
8382,63664,984911
8383,190996,857579
8384,8384,1040191
8385,25156,1023419
8386,15928,1032647
8387,37744,1010831
8388,8388,1040187
8389,25168,1023407
8390,18880,1029695
8391,56644,991931
8392,8392,1040183
8393,42496,1006079
8394,12592,1035983
8395,37780,1010795
8396,9448,1039127
8397,25192,1023383
8398,71764,976811
8399,85048,963527
8400,8400,1040175
8401,25204,1023371
8402,31912,1016663
8403,37816,1010759
8404,8404,1040171
8405,25216,1023359
8406,26944,1021631
8407,56752,991823
8408,45520,1003055
8409,28384,1020191
8410,45520,1003055
8411,63880,984695
8412,45520,1003055
8413,45520,1003055
8414,345544,703031
8415,345544,703031
8416,9232,1039343
8417,182068,866507
8418,12628,1035947
8419,37888,1010687
8420,9232,1039343
8421,25264,1023311
8422,18952,1029623
8423,95956,952619
8424,9232,1039343
8425,129760,918815
8426,12640,1035935
8427,102544,946031
8428,21688,1026887
8429,25288,1023287
8430,28456,1020119
8431,324160,724415
8432,9232,1039343
8433,25300,1023275
8434,40552,1008023
8435,40552,1008023
8436,9232,1039343
8437,25312,1023263
8438,21688,1026887
8439,56968,991607
8440,250504,798071
8441,32056,1016519
8442,250504,798071
8443,410884,637691
8444,250504,798071
8445,250504,798071
8446,144340,904235
8447,433024,615551
8448,8448,1040127
8449,25348,1023227
8450,12676,1035899
8451,38032,1010543
8452,9232,1039343
8453,25360,1023215
8454,19024,1029551
8455,146500,902075
8456,9232,1039343
8457,42820,1005755
8458,12688,1035887
8459,38068,1010507
8460,9520,1039055
8461,25384,1023191
8462,28564,1020011
8463,85696,962879
8464,8464,1040111
8465,25396,1023179
8466,695464,353111
8467,695464,353111
8468,8468,1040107
8469,25408,1023167
8470,19060,1029515
8471,57184,991391
8472,8472,1040103
8473,28600,1019975
8474,12712,1035863
8475,217240,831335
8476,14308,1034267
8477,25432,1023143
8478,42928,1005647
8479,128788,919787
8480,9232,1039343
8481,39364,1009211
8482,39364,1009211
8483,39364,1009211
8484,39364,1009211
8485,39364,1009211
8486,39364,1009211
8487,176740,871835
8488,9232,1039343
8489,96712,951863
8490,12736,1035839
8491,103336,945239
8492,9556,1039019
8493,25480,1023095
8494,28672,1019903
8495,86020,962555
