n0,L,steps_to_1,max_N,max_M,theorem_ok,avg_H_N,avg_H_M,avg_H_diff,avg_ham_dist,final_M_at_N1
382,20,45,4372,1048574,True,0.679665,0.679665,0.000000,20.000000,1048574
383,20,45,13120,1048574,True,0.694465,0.694465,0.000000,20.000000,1048574
384,20,14,384,1048574,True,0.408129,0.408129,0.000000,20.000000,1048574
385,20,32,1156,1048574,True,0.607352,0.607352,0.000000,20.000000,1048574
386,20,120,9232,1048574,True,0.750160,0.750160,0.000000,20.000000,1048574
387,20,120,9232,1048574,True,0.756269,0.756269,0.000000,20.000000,1048574
388,20,120,9232,1048574,True,0.754835,0.754835,0.000000,20.000000,1048574
389,20,120,9232,1048574,True,0.755761,0.755761,0.000000,20.000000,1048574
390,20,120,9232,1048574,True,0.761870,0.761870,0.000000,20.000000,1048574
391,20,120,9232,1048574,True,0.766301,0.766301,0.000000,20.000000,1048574
392,20,27,392,1048574,True,0.521902,0.521902,0.000000,20.000000,1048574
393,20,58,2248,1048574,True,0.693019,0.693019,0.000000,20.000000,1048574
394,20,27,592,1048574,True,0.529908,0.529908,0.000000,20.000000,1048574
395,20,76,9232,1048574,True,0.751159,0.751159,0.000000,20.000000,1048574
396,20,27,448,1048574,True,0.541917,0.541917,0.000000,20.000000,1048574
397,20,27,1192,1048574,True,0.545108,0.545108,0.000000,20.000000,1048574
398,20,120,9232,1048574,True,0.772454,0.772454,0.000000,20.000000,1048574
399,20,120,9232,1048574,True,0.779912,0.779912,0.000000,20.000000,1048574
400,20,27,400,1048574,True,0.529908,0.529908,0.000000,20.000000,1048574
401,20,19,1204,1048574,True,0.539342,0.539342,0.000000,20.000000,1048574
402,20,19,1024,1048574,True,0.513658,0.513658,0.000000,20.000000,1048574
403,20,19,1816,1048574,True,0.529595,0.529595,0.000000,20.000000,1048574
404,20,27,404,1048574,True,0.541917,0.541917,0.000000,20.000000,1048574
405,20,27,1216,1048574,True,0.537102,0.537102,0.000000,20.000000,1048574
406,20,40,916,1048574,True,0.586617,0.586617,0.000000,20.000000,1048574
407,20,40,2752,1048574,True,0.591740,0.591740,0.000000,20.000000,1048574
408,20,27,408,1048574,True,0.561933,0.561933,0.000000,20.000000,1048574
409,20,40,1384,1048574,True,0.588590,0.588590,0.000000,20.000000,1048574
410,20,27,616,1048574,True,0.568315,0.568315,0.000000,20.000000,1048574
411,20,133,9232,1048574,True,0.775480,0.775480,0.000000,20.000000,1048574
412,20,89,9232,1048574,True,0.760191,0.760191,0.000000,20.000000,1048574
413,20,89,9232,1048574,True,0.760969,0.760969,0.000000,20.000000,1048574
414,20,89,9232,1048574,True,0.763268,0.763268,0.000000,20.000000,1048574
415,20,133,9232,1048574,True,0.784269,0.784269,0.000000,20.000000,1048574
